metric,value,note
attention_process_windows,120,
band_coupler_process_windows,210,
coordinate_nonlocal_audit_examples,50,
coordinate_nonlocal_relation_count,1682,
direct_hypernode_fk_count,0,
hyperedge_process_windows,120,
hyperedge_relation_count,2625,
hypernode_backprojection_count,855,
ledger_binding_count,791,
measure_binding_count,893,
pragma_integrity_check,ok,
process_window_count,1133,
process_window_member_count,20128,
proxy_hypernode_backprojection_count,855,
trajectory_process_windows,532,
variational_process_windows,120,
xin_carrier_process_windows,31,
