scope,name,count
m365,attention,120
m365,counter_evidence_chain,532
m365,external_entropy_ledger,4489
m365,hyperedge,120
m365,hyperedge_incidence,855
m365,information_point,4575
m365,information_point_3d4d_backprojection,4575
m365,information_point_to_trajectory,13941
m365,masking_layer,52
m365,preneural,50
m365,source_data,1
m365,spacetime_band_coupler,210
m365,trajectory_to_o_pr_r_xin,532
m365,variational_path,120
m365,xin_carrier_external_readout,31
pass3,hypernode_fk_upgrade_applied_pass2,855
pass3,preneural_process_window_member_pass2,2000
pass3,preneural_process_window_supplement_pass2,500
pass3,process_window_materialization_confidence_pass3,1633
pass3,r_chain_concrete_mask_binding_pass2,532
pass3,stage2_bypass_and_route_legitimacy_pass3,1633
pass3,v366_hyperedge_spacetime_relation,2625
pass3,v366_hypernode_spacetime_backprojection,855
pass3,v366_process_window_member,22128
pass3,v366_process_window_registry,1633
confidence,high_materialization_confidence,120
confidence,low_materialization_confidence,842
confidence,medium_materialization_confidence,671
route,hybrid_route,330
route,intentional_bypass_to_toprxin,532
route,overlay_governance_route,271
route,stage1_preneural_interface_direct,500
hypernode_fk,blocked_requires_upstream_writer_change,352
hypernode_fk,direct_after_normalization,390
hypernode_fk,direct_fk_after_ledger_window_normalization,112
hypernode_fk,direct_fk_after_mask_ref_normalization,113
hypernode_fk,direct_fk_after_source_ref_normalization,130
hypernode_fk,direct_fk_applied,35
hypernode_fk,still_proxy_after_pass2,113
