cell_id,x,y,roi_area
517409920,368.9,32.33,135
517409924,415.75,18.8,111
517410264,85.59,26.8,203
517409467,242.96,19.69,137
517409091,108.56,150.18,156
587179579,163.3,148.71,236
587179599,49.72,146.41,217
587179617,443.93,141.04,228
517409119,267.17,140.77,182
587179626,194.38,137.92,202
587179652,361.85,139.74,166
517410254,270.01,36.02,165
517410249,462.75,48.1,176
517409462,417.66,49.6,203
517409355,189.3,53.6,220
587178533,448.82,76.46,195
517409347,99.37,83.51,196
517409351,60.56,96.37,270
517409883,58.45,279.03,258
587178924,355.59,271.77,198
517410008,138.85,475.33,193
517409806,108.36,472.64,157
517409993,26.41,457.26,223
517409988,71.45,444.3,196
517409983,457.6,440.63,155
587178933,147.93,443.18,217
517409915,464.33,459.65,219
517410003,365.38,459.5,237
517409657,172.75,482.19,205
517410113,31.99,395.15,270
587179547,360.71,158.43,221
587178258,308.19,151.49,198
587179556,274.58,161.34,235
517409098,35.27,169.08,211
517410396,243.1,170.86,220
517410381,76.89,170.38,242
587179299,395.92,174.82,194
517409875,471.71,245.26,196
587178905,437.99,247.74,231
517410098,412.43,235.91,193
517409527,24.84,238.5,142
517409879,93.56,242.43,253
587179402,218.6,253.9,182
517409537,68.6,253.66,116
517409976,280.41,436.97,244
517409979,213.49,438.72,229
517409973,345.18,429.33,223
517409830,419.0,435.14,184
517409273,299.06,334.6,272
517409173,313.23,393.21,203
517409158,279.41,368.31,226
517409668,399.15,431.53,144
517410274,435.72,204.6,159
587178371,88.57,212.77,188
517409309,166.52,194.51,224
517410279,121.48,203.31,137
587179450,197.0,187.66,181
587179443,271.49,194.67,245
517409305,217.03,170.25,155
517409367,486.16,181.57,178
587179464,152.47,215.12,217
517409313,282.53,214.91,195
517409127,336.71,399.4,221
517410426,195.6,407.48,221
517410434,487.83,411.85,192
517410421,273.14,412.23,229
517409894,52.95,419.09,241
517410431,168.38,414.77,183
517410401,390.89,416.71,137
517409860,240.66,262.3,228
517409660,153.24,474.78,204
517409512,153.59,256.96,195
517409970,179.4,46.54,188
517409604,419.04,38.7,201
517409230,393.9,37.44,242
587179668,302.54,32.23,177
517409609,98.89,25.48,207
517409288,347.65,119.46,225
587178514,264.41,129.43,198
517409293,160.09,124.03,187
517409298,168.21,164.14,204
517409333,87.25,146.57,176
517409776,75.12,47.68,125
587178462,256.07,166.68,120
517409029,476.56,457.46,213
517410491,282.57,267.83,169
517409362,139.4,162.9,213
587179415,314.7,266.82,182
517410168,389.36,368.38,264
517410411,371.85,423.13,234
517409148,257.77,378.65,235
517409013,317.58,366.26,280
517410064,373.87,201.79,218
517410068,306.63,202.89,140
517409153,332.19,378.62,193
587179309,446.43,195.19,240
517410363,183.02,204.4,169
517410371,149.98,182.89,209
587179317,394.02,193.23,220
587178718,492.64,69.34,132
517409803,105.72,71.32,204
517409781,158.38,57.26,183
517409771,138.08,54.94,192
517409786,306.58,54.82,171
517409794,180.2,72.32,264
587178848,353.89,61.48,204
517409789,75.72,65.4,221
517410311,425.21,298.18,238
517410158,157.35,314.92,201
517409009,492.76,316.35,192
517410146,219.18,302.81,170
517410174,62.19,303.68,221
517410182,198.03,309.3,168
587179530,34.19,273.35,213
517409321,493.98,286.12,235
517409325,264.67,295.97,181
517409025,35.88,379.21,269
517410152,285.57,373.71,265
517409135,192.18,365.81,205
517409131,116.09,365.28,223
517409143,308.18,363.95,228
517410123,249.79,359.08,142
587179409,183.04,223.8,163
517410088,363.83,223.54,169
517409086,313.21,226.43,260
517410083,88.13,223.65,284
517409337,440.37,162.48,193
517410075,245.8,218.09,241
517409081,214.14,215.66,125
517410072,353.57,203.35,113
517409103,120.44,204.17,205
517409107,346.79,96.23,182
517409472,485.4,88.42,199
587178706,238.76,84.2,183
517409495,155.68,86.01,247
587178712,315.39,75.95,137
517409800,37.44,74.08,226
587178625,293.71,80.06,218
517409317,439.95,264.35,173
587179539,75.09,263.3,115
517409193,95.1,254.35,174
517409188,453.26,246.85,117
587179485,157.71,250.13,231
587179520,297.29,233.94,237
587179478,425.68,226.91,217
517409198,195.42,219.81,124
587179457,325.76,217.26,192
517409278,163.62,349.17,218
517410078,49.28,220.06,233
517409561,235.9,303.57,227
517409583,365.76,301.37,138
517409268,129.85,340.66,241
517409283,93.98,342.16,200
517410131,484.04,347.09,171
517410140,148.36,368.0,219
587179437,413.39,301.6,181
517409718,221.85,289.55,220
517410497,267.85,295.66,264
517409679,445.7,179.2,197
517409631,313.73,245.53,188
517410326,290.26,183.28,168
517409240,454.22,351.23,177
587179380,175.1,403.95,285
517409210,363.83,117.9,192
517409021,100.25,381.09,232
517410155,487.63,393.45,263
517409665,181.88,418.69,242
587178787,152.13,419.08,224
517409033,424.66,414.25,219
517409477,381.58,100.56,232
517409482,413.79,97.4,205
587179703,310.26,99.33,185
517409485,451.37,99.32,180
517409498,86.89,104.53,216
587179708,285.36,104.05,137
517409501,175.18,109.12,193
587178390,206.97,114.87,185
517410013,184.05,480.84,140
587178776,292.9,455.51,194
517409248,231.85,328.67,190
517409253,192.19,324.21,224
517409579,32.37,319.92,184
517409552,443.15,325.49,249
517409507,90.74,319.98,131
517409587,471.99,312.58,209
517409855,448.53,268.48,184
517409575,345.76,316.79,197
517409243,225.37,351.29,237
587179360,298.9,428.56,173
517409437,340.58,482.33,206
517410108,451.92,390.12,117
517410441,321.7,424.28,188
517409168,494.8,360.35,167
517410149,388.92,133.55,221
517409005,150.12,338.31,179
587179161,487.64,333.94,205
517410165,357.79,341.41,215
517409220,38.09,121.52,219
517409225,315.47,126.09,247
587178380,407.29,116.68,112
517409115,337.99,129.22,160
587178397,123.43,125.79,222
517409111,284.13,123.42,189
517409123,298.22,394.15,205
517410331,254.75,19.55,264
517410060,44.55,14.69,159
517410494,308.25,295.65,142
517410488,124.66,288.46,165
517409566,90.51,282.78,171
517409684,432.35,155.92,129
517409673,68.15,137.18,186
517409646,402.79,39.43,191
517409641,287.03,56.13,291
517409636,398.49,91.23,211
