clock_n,time_s,sensor_id,sensor_kind,x,y,z,force_x,force_y,force_z,optical_intensity,acoustic_pressure,phase,uncertainty
0,0.0,vestibular_like_north,fixture_multimodal_probe,5.6,0.0,0.4,0.520000000,0.000000000,0.000000000,0.6362964198080278,-0.21456413989011344,0.000000000,0.025
0,0.0,vestibular_like_east,fixture_multimodal_probe,0.0,5.6,0.2,0.567785273,0.380734962,0.023910773,0.7734062609097122,0.003799936666983336,0.596106510,0.031
0,0.0,vestibular_like_south,fixture_multimodal_probe,-5.6,0.0,-0.2,0.258178015,0.629202028,0.046994060,0.7787690683873263,0.22079336100417593,1.192177348,0.037000000000000005
0,0.0,vestibular_like_west,fixture_multimodal_probe,0.0,-5.6,0.1,-0.112613815,0.504523844,0.068287856,0.6771684529896794,0.35814574473404504,1.796649414,0.025
0,0.0,shear_band_upper,fixture_multimodal_probe,3.4,3.4,1.1,-0.257554887,0.221863965,0.086885056,0.5212822919142108,0.3663135385379303,2.437800706,0.031
0,0.0,shear_band_lower,fixture_multimodal_probe,-3.4,-3.4,-1.0,-0.306551401,0.006760030,0.101983754,0.3579435798252112,0.24235058681111152,3.124402276,0.037000000000000005
0,0.0,acoustic_pressure_probe,fixture_multimodal_probe,2.2,-4.1,0.0,-0.372338585,-0.255571431,0.112933887,0.21988600191742924,0.030970817668902265,-2.538133285,0.025
0,0.0,optical_gradient_probe,fixture_multimodal_probe,-2.2,4.1,0.0,-0.245420510,-0.599733029,0.119274747,0.13800951012665058,-0.19158024818437225,-1.959382106,0.031
1,0.01,vestibular_like_north,fixture_multimodal_probe,5.6,0.0,0.4,0.434856805,0.360043050,0.058976965,0.8150351547617768,0.12569930117531852,0.688190109,0.029
1,0.01,vestibular_like_east,fixture_multimodal_probe,0.0,5.6,0.2,0.186183826,0.659977345,0.078554349,0.8225889591886577,0.33361912370693436,1.286505263,0.035
1,0.01,vestibular_like_south,fixture_multimodal_probe,-5.6,0.0,-0.2,-0.210350940,0.606768511,0.094874146,0.680655335746837,0.45013278824975056,1.902192815,0.04100000000000001
1,0.01,vestibular_like_west,fixture_multimodal_probe,0.0,-5.6,0.1,-0.385315979,0.261894665,0.107314291,0.4671483017463373,0.43321335410699957,2.546841459,0.029
1,0.01,shear_band_upper,fixture_multimodal_probe,3.4,3.4,1.1,-0.326304956,-0.031497109,0.115429126,0.2751108232062735,0.2889637282478373,-3.047774377,0.035
1,0.01,shear_band_lower,fixture_multimodal_probe,-3.4,-3.4,-1.0,-0.259322353,-0.233063341,0.118954502,0.1644158183154109,0.06941532256975991,-2.398935357,0.04100000000000001
1,0.01,acoustic_pressure_probe,fixture_multimodal_probe,2.2,-4.1,0.0,-0.136925207,-0.491083287,0.117803443,0.1488081783862057,-0.1462398826414211,-1.830810819,0.029
1,0.01,optical_gradient_probe,fixture_multimodal_probe,-2.2,4.1,0.0,0.205669247,-0.648642695,0.112056195,0.21501967729617416,-0.2802141999421526,-1.260661250,0.035
2,0.02,vestibular_like_north,fixture_multimodal_probe,5.6,0.0,0.4,0.098647912,0.567026246,0.101234355,0.8373940486533569,0.35572906193268966,1.405315738,0.025
2,0.02,vestibular_like_east,fixture_multimodal_probe,0.0,5.6,0.2,-0.287585427,0.602851903,0.111648604,0.7002327610404834,0.44999561293804674,2.031660093,0.031
2,0.02,vestibular_like_south,fixture_multimodal_probe,-5.6,0.0,-0.2,-0.531163426,0.277594910,0.117721418,0.4577184112887371,0.40819346965383324,2.672793412,0.037000000000000005
2,0.02,vestibular_like_west,fixture_multimodal_probe,0.0,-5.6,0.1,-0.439561809,-0.086902187,0.119194746,0.22404488342121373,0.24540083087927955,-2.948266222,0.025
2,0.02,shear_band_upper,fixture_multimodal_probe,3.4,3.4,1.1,-0.228699274,-0.259572068,0.115968155,0.0995292777410775,0.020337646780696904,-2.291473309,0.031
2,0.02,shear_band_lower,fixture_multimodal_probe,-3.4,-3.4,-1.0,-0.055909783,-0.387038912,0.108113358,0.11968910521894689,-0.18581489991754063,-1.718647050,0.037000000000000005
2,0.02,acoustic_pressure_probe,fixture_multimodal_probe,2.2,-4.1,0.0,0.224041800,-0.506633497,0.095885652,0.25106940038288117,-0.29869676836897374,-1.166622675,0.025
2,0.02,optical_gradient_probe,fixture_multimodal_probe,-2.2,4.1,0.0,0.575774492,-0.373047697,0.079728272,0.4273828062167014,-0.27759102112455925,-0.581164908,0.031
3,0.03,vestibular_like_north,fixture_multimodal_probe,5.6,0.0,0.4,-0.308334898,0.488672758,0.120851762,0.6922744027494944,0.3657807412144948,2.133057183,0.029
3,0.03,vestibular_like_east,fixture_multimodal_probe,0.0,5.6,0.2,-0.616847745,0.230381855,0.119593826,0.46707388123414567,0.29960118490723864,2.785133125,0.035
3,0.03,vestibular_like_south,fixture_multimodal_probe,-5.6,0.0,-0.2,-0.571485410,-0.172349437,0.113463022,0.22062162983992556,0.12023333874154199,-2.844808928,0.04100000000000001
3,0.03,vestibular_like_west,fixture_multimodal_probe,0.0,-5.6,0.1,-0.265615586,-0.361525068,0.102707926,0.06853194932342874,-0.10762410410105444,-2.196897167,0.029
3,0.03,shear_band_upper,fixture_multimodal_probe,3.4,3.4,1.1,-0.011148719,-0.362268751,0.087790022,0.08169432282472094,-0.30178206068990504,-1.593780794,0.035
3,0.03,shear_band_lower,fixture_multimodal_probe,-3.4,-3.4,-1.0,0.209411603,-0.367926147,0.069357448,0.2459652684256215,-0.3922069863812691,-1.040943072,0.04100000000000001
3,0.03,acoustic_pressure_probe,fixture_multimodal_probe,2.2,-4.1,0.0,0.513108716,-0.260550940,0.048206189,0.47590836904620415,-0.3462822520059207,-0.461299736,0.029
3,0.03,optical_gradient_probe,fixture_multimodal_probe,-2.2,4.1,0.0,0.680891549,0.100389618,0.025233441,0.6696842730086557,-0.1805730913128882,0.148828822,0.035
4,0.04,vestibular_like_north,fixture_multimodal_probe,5.6,0.0,0.4,-0.592465918,0.140353504,0.106844854,0.4517119464550706,0.20273048245869393,2.902311538,0.025
4,0.04,vestibular_like_east,fixture_multimodal_probe,0.0,5.6,0.2,-0.629517257,-0.261270994,0.093687288,0.23884971610536423,0.008955592285741706,-2.746667163,0.031
4,0.04,vestibular_like_south,fixture_multimodal_probe,-5.6,0.0,-0.2,-0.308039972,-0.504510757,0.076910131,0.08705711698985895,-0.21894181317211184,-2.124387648,0.037000000000000005
4,0.04,vestibular_like_west,fixture_multimodal_probe,0.0,-5.6,0.1,0.024945457,-0.438491142,0.057191141,0.07780433802810208,-0.39875823631047425,-1.520854485,0.025
4,0.04,shear_band_upper,fixture_multimodal_probe,3.4,3.4,1.1,0.209109780,-0.295698314,0.035295308,0.2304590257197442,-0.46563318045546576,-0.948548405,0.031
4,0.04,shear_band_lower,fixture_multimodal_probe,-3.4,-3.4,-1.0,0.407916735,-0.156072052,0.012049120,0.4805622674275028,-0.39544458814104255,-0.362097194,0.037000000000000005
4,0.04,acoustic_pressure_probe,fixture_multimodal_probe,2.2,-4.1,0.0,0.583386891,0.154714865,-0.011681444,0.711717596599961,-0.21350976286428805,0.261225716,0.025
4,0.04,optical_gradient_probe,fixture_multimodal_probe,-2.2,4.1,0.0,0.446654195,0.538102077,-0.035010971,0.8216484059149953,0.01454668265159935,0.893197383,0.031
5,0.05,vestibular_like_north,fixture_multimodal_probe,5.6,0.0,0.4,-0.569467985,-0.315811165,0.066562961,0.23511912664222523,-0.009873026238585568,-2.618242747,0.029
5,0.05,vestibular_like_east,fixture_multimodal_probe,0.0,5.6,0.2,-0.299136034,-0.617656114,0.045678761,0.1288481261672706,-0.2350556151226761,-2.010469871,0.035
5,0.05,vestibular_like_south,fixture_multimodal_probe,-5.6,0.0,-0.2,0.083271963,-0.565917483,0.022858401,0.12332476649748507,-0.3983569191160989,-1.416753536,0.04100000000000001
5,0.05,vestibular_like_west,fixture_multimodal_probe,0.0,-5.6,0.1,0.269461129,-0.306411759,-0.001012173,0.24725934202787633,-0.44087351049159074,-0.837970263,0.029
5,0.05,shear_band_upper,fixture_multimodal_probe,3.4,3.4,1.1,0.341659929,-0.088709288,-0.024975238,0.4719782924969433,-0.3472694861911042,-0.251806731,0.035
5,0.05,shear_band_lower,fixture_multimodal_probe,-3.4,-3.4,-1.0,0.432112156,0.170096278,-0.048040846,0.7070288399985786,-0.15130818885510433,0.371384935,0.04100000000000001
5,0.05,acoustic_pressure_probe,fixture_multimodal_probe,2.2,-4.1,0.0,0.344023222,0.537651397,-0.069234614,0.841444084455045,0.0763263647161709,0.997067062,0.029
5,0.05,optical_gradient_probe,fixture_multimodal_probe,-2.2,4.1,0.0,-0.034033944,0.716090321,-0.087649801,0.8078419506088703,0.25352548863584345,1.610264840,0.035
6,0.06,vestibular_like_north,fixture_multimodal_probe,5.6,0.0,0.4,-0.228512588,-0.648671622,0.009874702,0.15001013728449147,-0.17970387517012504,-1.918206605,0.025
6,0.06,vestibular_like_east,fixture_multimodal_probe,0.0,5.6,0.2,0.166229602,-0.664860767,-0.014295593,0.19167264023591996,-0.32451610584884877,-1.329883190,0.031
6,0.06,vestibular_like_south,fixture_multimodal_probe,-5.6,0.0,-0.2,0.396487631,-0.358796026,-0.037810814,0.31142173271216644,-0.3421604122278634,-0.740058391,0.037000000000000005
6,0.06,vestibular_like_west,fixture_multimodal_probe,0.0,-5.6,0.1,0.374087799,-0.052225491,-0.059695585,0.4927814390004504,-0.22627242304877523,-0.137907502,0.025
6,0.06,shear_band_upper,fixture_multimodal_probe,3.4,3.4,1.1,0.315557332,0.167964697,-0.079067483,0.686364726523934,-0.01865339542428494,0.500012007,0.031
6,0.06,shear_band_lower,fixture_multimodal_probe,-3.4,-3.4,-1.0,0.215793942,0.453050930,-0.095174294,0.8129495744323716,0.20580766431546613,1.132580781,0.037000000000000005
6,0.06,acoustic_pressure_probe,fixture_multimodal_probe,2.2,-4.1,0.0,-0.105632988,0.676004380,-0.107418770,0.8006930904828459,0.3661467620893409,1.736578949,0.025
6,0.06,optical_gradient_probe,fixture_multimodal_probe,-2.2,4.1,0.0,-0.488104313,0.539643167,-0.115371152,0.6351182733059855,0.4045289496965678,2.323350860,0.031
7,0.07,vestibular_like_north,fixture_multimodal_probe,5.6,0.0,0.4,0.243974351,-0.674361467,-0.049408254,0.23863210549626573,-0.2770546125689303,-1.218703615,0.029
7,0.07,vestibular_like_east,fixture_multimodal_probe,0.0,5.6,0.2,0.541331031,-0.391704134,-0.069848665,0.39613788938862005,-0.2696133530327144,-0.634656984,0.035
7,0.07,vestibular_like_south,fixture_multimodal_probe,-5.6,0.0,-0.2,0.496645571,-0.013402286,-0.087544935,0.5579788368729776,-0.13284223028421271,-0.033012434,0.04100000000000001
7,0.07,vestibular_like_west,fixture_multimodal_probe,0.0,-5.6,0.1,0.289443206,0.198474782,-0.101839429,0.692496273270011,0.08392486949819196,0.603055977,0.029
7,0.07,shear_band_upper,fixture_multimodal_probe,3.4,3.4,1.1,0.118775265,0.357896824,-0.112185758,0.7671993584498904,0.3024991940912127,1.242527354,0.035
7,0.07,shear_band_lower,fixture_multimodal_probe,-3.4,-3.4,-1.0,-0.146717124,0.533669470,-0.118165149,0.7457466318255691,0.4440401181179755,1.837382531,0.04100000000000001
7,0.07,acoustic_pressure_probe,fixture_multimodal_probe,2.2,-4.1,0.0,-0.531340141,0.475157529,-0.119505037,0.6096929411547916,0.45749326917006283,2.419206612,0.029
7,0.07,optical_gradient_probe,fixture_multimodal_probe,-2.2,4.1,0.0,-0.711836619,0.103769624,-0.116098676,0.3892154283029271,0.3380060423305383,2.998833995,0.035
8,0.08,vestibular_like_north,fixture_multimodal_probe,5.6,0.0,0.4,0.626412980,-0.360946114,-0.097126439,0.4569941017127075,-0.2899212419069563,-0.520729257,0.025
8,0.08,vestibular_like_east,fixture_multimodal_probe,0.0,5.6,0.2,0.631659897,0.053169725,-0.109615844,0.6407496667664114,-0.1339202481255298,0.092030301,0.031
8,0.08,vestibular_like_south,fixture_multimodal_probe,-5.6,0.0,-0.2,0.338706360,0.295284083,-0.117724440,0.7406079575952688,0.0893746855801971,0.728413648,0.037000000000000005
8,0.08,vestibular_like_west,fixture_multimodal_probe,0.0,-5.6,0.1,0.070125600,0.340640927,-0.121075415,0.747267689493997,0.2994201914124448,1.374511608,0.025
8,0.08,shear_band_upper,fixture_multimodal_probe,3.4,3.4,1.1,-0.158486899,0.386882739,-0.119501274,0.6743568032127591,0.4204520227322233,1.964823847,0.031
8,0.08,shear_band_lower,fixture_multimodal_probe,-3.4,-3.4,-1.0,-0.490505818,0.345583194,-0.113058953,0.538778782857935,0.4088135181749058,2.526916221,0.037000000000000005
