tick,phase,d_sigma_t,phi_t,phi_prev,v_phi,clock_delta,source_delta,reproj_delta,phi_displacement,rlis_delta,churn_delta
1,warmup,1.331549516556063,0.04810416960646995,0.0,0.03612643231207414,1.0,0.048325108138981554,0.0,0.14979341150947348,0.16198737749608338,0.039862274339648986
2,warmup,1.2647030084643414,0.0481470578774992,0.04810416960646995,3.391170640893464e-05,1.0,0.026735135352338513,0.02,0.10843274100360485,0.16380035562863882,0.01228849400240324
3,warmup,1.3571862443096188,0.04986271869138816,0.0481470578774992,0.0012641297809733657,1.0,0.0881420786671609,0.04,0.1207208391434675,0.1893589177202295,0.02048055942897834
4,warmup,1.2746521439261929,0.05176458766471424,0.04986271869138816,0.001492067847938565,1.0,0.03401648068915997,0.06,0.09216509072968244,0.17710582161888455,0.0014433938197882968
5,warmup,1.2689600384949649,0.05240886393065572,0.05176458766471424,0.0005077195015424683,1.0,0.05949780150609579,0.08,0.09345146554858354,0.11383274636472085,0.002300977032389029
6,warmup,1.3506751282584877,0.05429672908262569,0.05240886393065572,0.0013977186036478767,1.0,0.04095035872042152,0.1,0.12806388052669065,0.17347969418278475,0.025375920351127113
7,warmup,1.381482894827907,0.05674500626264524,0.05429672908262569,0.0017722082676356727,1.0,0.13087660928272196,0.12,0.08325065542652367,0.19180165945051242,0.004499563048984212
8,warmup,1.2761781878701741,0.05883680378694751,0.05674500626264524,0.0016391095734708586,1.0,0.030162405052052643,0.14,0.08496224095351257,0.13125028711986686,0.003358506030991615
9,warmup,1.3279578119937763,0.061404303595372134,0.05883680378694751,0.0019334182545690732,1.0,0.04408201986752444,0.16,0.08020694292863963,0.18972063783282134,0.006528704714240241
10,warmup,1.3982425034708756,0.0633155952374936,0.061404303595372134,0.001366923312983069,1.0,0.010444125871656884,0.18,0.14057906905550852,0.19617428026467365,0.03371937937033901
11,noise_storm,1.8430291505135072,0.10484665904993251,0.0633155952374936,0.022534120671258408,1.0,0.08000346333421733,0.18585729499929468,0.09912818190581923,0.5927783415266854,0.5286922728587289
12,noise_storm,1.3039024043871803,0.14799889771221636,0.10484665904993251,0.03309465909598181,1.0,0.011629972230006414,0.2157676191690135,0.01672914279380151,0.021003599983042655,0.38509371419070226
13,noise_storm,3.4788567584428542,0.18433725059685593,0.14799889771221636,0.01044548395129116,1.0,0.3419097868069933,0.26727538817819746,0.6092271399384258,1.425137305031657,1.2138407099076385
14,noise_storm,1.9513968910914574,0.20389516624253867,0.18433725059685593,0.010022515518218374,1.0,0.07107093732687694,0.30577737813047773,0.14487923251391957,0.5747813893994367,0.5573188487708793
15,noise_storm,3.8055983341941784,0.23338478766595977,0.20389516624253867,0.007749008456683844,1.0,0.48813962084278356,0.22003864358871317,0.7160638670143656,1.4402539251662274,1.4540958005215483
16,noise_storm,2.1207345324262623,0.2554291365012548,0.23338478766595977,0.010394671328996335,1.0,0.34307858519094064,0.09342497842315725,0.2136807294594063,0.49155643672499905,0.6205210941891095
17,noise_storm,2.745998297625314,0.26794549239609367,0.2554291365012548,0.004558033174175516,1.0,0.2662071309970235,0.2776004651172938,0.49266148921542724,0.712402799468798,0.9389922338231409
18,noise_storm,4.413764360483194,0.27830515222458274,0.26794549239609367,0.0023471251827838348,1.0,0.5190404386183596,0.3113246463080312,1.0772672064828412,1.3729811912756267,1.8159008097242615
19,noise_storm,2.47187755330514,0.29356361858339614,0.27830515222458274,0.006172822017655905,1.0,0.4141683982485381,0.08690787387902464,0.23996329946441067,0.85525826455143,0.7399449491966159
20,noise_storm,1.5016467361100818,0.29841562636452673,0.29356361858339614,0.0032311224959452865,1.0,0.3860044105232932,0.012460255804137566,0.032064757977637096,0.04149419238271944,0.30809713696645563
