hyperedge_id,node_id,node_role,incidence_weight,coo_index
he35h_0001,hn35h_0008,driver,0.27,0
he35h_0001,hn35h_0025,evidence,0.34,1
he35h_0001,hn35h_0042,counter,0.41,2
he35h_0001,hn35h_0059,residual,0.48,3
he35h_0001,hn35h_0076,mask,0.55,4
he35h_0001,hn35h_0093,ledger,0.62,5
he35h_0001,hn35h_0110,context,0.69,6
he35h_0001,hn35h_0127,macro,0.76,7
he35h_0002,hn35h_0015,driver,0.34,0
he35h_0002,hn35h_0032,evidence,0.41,1
he35h_0002,hn35h_0049,counter,0.48,2
he35h_0002,hn35h_0066,residual,0.55,3
he35h_0002,hn35h_0083,mask,0.62,4
he35h_0002,hn35h_0100,ledger,0.69,5
he35h_0002,hn35h_0117,context,0.76,6
he35h_0002,hn35h_0134,macro,0.83,7
he35h_0003,hn35h_0022,driver,0.41,0
he35h_0003,hn35h_0039,evidence,0.48,1
he35h_0003,hn35h_0056,counter,0.55,2
he35h_0003,hn35h_0073,residual,0.62,3
he35h_0003,hn35h_0090,mask,0.69,4
he35h_0003,hn35h_0107,ledger,0.76,5
he35h_0003,hn35h_0124,context,0.83,6
he35h_0003,hn35h_0141,macro,0.2,7
he35h_0004,hn35h_0029,driver,0.48,0
he35h_0004,hn35h_0046,evidence,0.55,1
he35h_0004,hn35h_0063,counter,0.62,2
he35h_0004,hn35h_0080,residual,0.69,3
he35h_0004,hn35h_0097,mask,0.76,4
he35h_0004,hn35h_0114,ledger,0.83,5
he35h_0004,hn35h_0131,context,0.2,6
he35h_0004,hn35h_0148,macro,0.27,7
he35h_0005,hn35h_0036,driver,0.55,0
he35h_0005,hn35h_0053,evidence,0.62,1
he35h_0005,hn35h_0070,counter,0.69,2
he35h_0005,hn35h_0087,residual,0.76,3
he35h_0005,hn35h_0104,mask,0.83,4
he35h_0005,hn35h_0121,ledger,0.2,5
he35h_0005,hn35h_0138,context,0.27,6
he35h_0005,hn35h_0155,macro,0.34,7
he35h_0006,hn35h_0043,driver,0.62,0
he35h_0006,hn35h_0060,evidence,0.69,1
he35h_0006,hn35h_0077,counter,0.76,2
he35h_0006,hn35h_0094,residual,0.83,3
he35h_0006,hn35h_0111,mask,0.2,4
he35h_0006,hn35h_0128,ledger,0.27,5
he35h_0006,hn35h_0145,context,0.34,6
he35h_0006,hn35h_0162,macro,0.41,7
he35h_0007,hn35h_0050,driver,0.69,0
he35h_0007,hn35h_0067,evidence,0.76,1
he35h_0007,hn35h_0084,counter,0.83,2
he35h_0007,hn35h_0101,residual,0.2,3
he35h_0007,hn35h_0118,mask,0.27,4
he35h_0007,hn35h_0135,ledger,0.34,5
he35h_0007,hn35h_0152,context,0.41,6
he35h_0007,hn35h_0169,macro,0.48,7
he35h_0008,hn35h_0057,driver,0.76,0
he35h_0008,hn35h_0074,evidence,0.83,1
he35h_0008,hn35h_0091,counter,0.2,2
he35h_0008,hn35h_0108,residual,0.27,3
he35h_0008,hn35h_0125,mask,0.34,4
he35h_0008,hn35h_0142,ledger,0.41,5
he35h_0008,hn35h_0159,context,0.48,6
he35h_0008,hn35h_0176,macro,0.55,7
he35h_0009,hn35h_0064,driver,0.83,0
he35h_0009,hn35h_0081,evidence,0.2,1
he35h_0009,hn35h_0098,counter,0.27,2
he35h_0009,hn35h_0115,residual,0.34,3
he35h_0009,hn35h_0132,mask,0.41,4
he35h_0009,hn35h_0149,ledger,0.48,5
he35h_0009,hn35h_0166,context,0.55,6
he35h_0009,hn35h_0183,macro,0.62,7
he35h_0010,hn35h_0071,driver,0.2,0
he35h_0010,hn35h_0088,evidence,0.27,1
he35h_0010,hn35h_0105,counter,0.34,2
he35h_0010,hn35h_0122,residual,0.41,3
he35h_0010,hn35h_0139,mask,0.48,4
he35h_0010,hn35h_0156,ledger,0.55,5
he35h_0010,hn35h_0173,context,0.62,6
he35h_0010,hn35h_0190,macro,0.69,7
he35h_0011,hn35h_0078,driver,0.27,0
